date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag
20180327,2018-03-27 00:00:00,2,27,86,Tuesday,Tue,Y,13,13,2018-03-26 00:00:00,20180326,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180328,2018-03-28 00:00:00,3,28,87,Wednesday,Wed,Y,13,13,2018-03-26 00:00:00,20180326,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180329,2018-03-29 00:00:00,4,29,88,Thursday,Thu,Y,13,13,2018-03-26 00:00:00,20180326,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180330,2018-03-30 00:00:00,5,30,89,Friday,Fri,Y,13,13,2018-03-26 00:00:00,20180326,3,3,March,Mar,1,2018,201803,9,3,2018,N
20180331,2018-03-31 00:00:00,6,31,90,Saturday,Sat,N,13,13,2018-03-26 00:00:00,20180326,3,3,March,Mar,1,2018,201803,9,3,2018,Y
20180401,2018-04-01 00:00:00,7,1,91,Sunday,Sun,N,13,13,2018-03-26 00:00:00,20180326,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180402,2018-04-02 00:00:00,1,2,92,Monday,Mon,Y,14,14,2018-04-02 00:00:00,20180402,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180403,2018-04-03 00:00:00,2,3,93,Tuesday,Tue,Y,14,14,2018-04-02 00:00:00,20180402,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180404,2018-04-04 00:00:00,3,4,94,Wednesday,Wed,Y,14,14,2018-04-02 00:00:00,20180402,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180405,2018-04-05 00:00:00,4,5,95,Thursday,Thu,Y,14,14,2018-04-02 00:00:00,20180402,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180406,2018-04-06 00:00:00,5,6,96,Friday,Fri,Y,14,14,2018-04-02 00:00:00,20180402,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180407,2018-04-07 00:00:00,6,7,97,Saturday,Sat,N,14,14,2018-04-02 00:00:00,20180402,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180408,2018-04-08 00:00:00,7,8,98,Sunday,Sun,N,14,14,2018-04-02 00:00:00,20180402,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180409,2018-04-09 00:00:00,1,9,99,Monday,Mon,Y,15,15,2018-04-09 00:00:00,20180409,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180410,2018-04-10 00:00:00,2,10,100,Tuesday,Tue,Y,15,15,2018-04-09 00:00:00,20180409,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180411,2018-04-11 00:00:00,3,11,101,Wednesday,Wed,Y,15,15,2018-04-09 00:00:00,20180409,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180412,2018-04-12 00:00:00,4,12,102,Thursday,Thu,Y,15,15,2018-04-09 00:00:00,20180409,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180413,2018-04-13 00:00:00,5,13,103,Friday,Fri,Y,15,15,2018-04-09 00:00:00,20180409,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180414,2018-04-14 00:00:00,6,14,104,Saturday,Sat,N,15,15,2018-04-09 00:00:00,20180409,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180415,2018-04-15 00:00:00,7,15,105,Sunday,Sun,N,15,15,2018-04-09 00:00:00,20180409,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180416,2018-04-16 00:00:00,1,16,106,Monday,Mon,Y,16,16,2018-04-16 00:00:00,20180416,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180417,2018-04-17 00:00:00,2,17,107,Tuesday,Tue,Y,16,16,2018-04-16 00:00:00,20180416,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180418,2018-04-18 00:00:00,3,18,108,Wednesday,Wed,Y,16,16,2018-04-16 00:00:00,20180416,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180419,2018-04-19 00:00:00,4,19,109,Thursday,Thu,Y,16,16,2018-04-16 00:00:00,20180416,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180420,2018-04-20 00:00:00,5,20,110,Friday,Fri,Y,16,16,2018-04-16 00:00:00,20180416,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180421,2018-04-21 00:00:00,6,21,111,Saturday,Sat,N,16,16,2018-04-16 00:00:00,20180416,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180422,2018-04-22 00:00:00,7,22,112,Sunday,Sun,N,16,16,2018-04-16 00:00:00,20180416,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180423,2018-04-23 00:00:00,1,23,113,Monday,Mon,Y,17,17,2018-04-23 00:00:00,20180423,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180424,2018-04-24 00:00:00,2,24,114,Tuesday,Tue,Y,17,17,2018-04-23 00:00:00,20180423,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180425,2018-04-25 00:00:00,3,25,115,Wednesday,Wed,Y,17,17,2018-04-23 00:00:00,20180423,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180426,2018-04-26 00:00:00,4,26,116,Thursday,Thu,Y,17,17,2018-04-23 00:00:00,20180423,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180427,2018-04-27 00:00:00,5,27,117,Friday,Fri,Y,17,17,2018-04-23 00:00:00,20180423,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180428,2018-04-28 00:00:00,6,28,118,Saturday,Sat,N,17,17,2018-04-23 00:00:00,20180423,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180429,2018-04-29 00:00:00,7,29,119,Sunday,Sun,N,17,17,2018-04-23 00:00:00,20180423,4,4,April,Apr,2,2018,201804,10,4,2018,N
20180430,2018-04-30 00:00:00,1,30,120,Monday,Mon,Y,18,18,2018-04-30 00:00:00,20180430,4,4,April,Apr,2,2018,201804,10,4,2018,Y
20180501,2018-05-01 00:00:00,2,1,121,Tuesday,Tue,Y,18,18,2018-04-30 00:00:00,20180430,5,5,May,May,2,2018,201805,11,4,2018,N
20180502,2018-05-02 00:00:00,3,2,122,Wednesday,Wed,Y,18,18,2018-04-30 00:00:00,20180430,5,5,May,May,2,2018,201805,11,4,2018,N
20180503,2018-05-03 00:00:00,4,3,123,Thursday,Thu,Y,18,18,2018-04-30 00:00:00,20180430,5,5,May,May,2,2018,201805,11,4,2018,N
20180504,2018-05-04 00:00:00,5,4,124,Friday,Fri,Y,18,18,2018-04-30 00:00:00,20180430,5,5,May,May,2,2018,201805,11,4,2018,N
20180505,2018-05-05 00:00:00,6,5,125,Saturday,Sat,N,18,18,2018-04-30 00:00:00,20180430,5,5,May,May,2,2018,201805,11,4,2018,N
20180506,2018-05-06 00:00:00,7,6,126,Sunday,Sun,N,18,18,2018-04-30 00:00:00,20180430,5,5,May,May,2,2018,201805,11,4,2018,N
20180507,2018-05-07 00:00:00,1,7,127,Monday,Mon,Y,19,19,2018-05-07 00:00:00,20180507,5,5,May,May,2,2018,201805,11,4,2018,N
20180508,2018-05-08 00:00:00,2,8,128,Tuesday,Tue,Y,19,19,2018-05-07 00:00:00,20180507,5,5,May,May,2,2018,201805,11,4,2018,N
20180509,2018-05-09 00:00:00,3,9,129,Wednesday,Wed,Y,19,19,2018-05-07 00:00:00,20180507,5,5,May,May,2,2018,201805,11,4,2018,N
20180510,2018-05-10 00:00:00,4,10,130,Thursday,Thu,Y,19,19,2018-05-07 00:00:00,20180507,5,5,May,May,2,2018,201805,11,4,2018,N
20180511,2018-05-11 00:00:00,5,11,131,Friday,Fri,Y,19,19,2018-05-07 00:00:00,20180507,5,5,May,May,2,2018,201805,11,4,2018,N
20180512,2018-05-12 00:00:00,6,12,132,Saturday,Sat,N,19,19,2018-05-07 00:00:00,20180507,5,5,May,May,2,2018,201805,11,4,2018,N
20180513,2018-05-13 00:00:00,7,13,133,Sunday,Sun,N,19,19,2018-05-07 00:00:00,20180507,5,5,May,May,2,2018,201805,11,4,2018,N
20180514,2018-05-14 00:00:00,1,14,134,Monday,Mon,Y,20,20,2018-05-14 00:00:00,20180514,5,5,May,May,2,2018,201805,11,4,2018,N
20180515,2018-05-15 00:00:00,2,15,135,Tuesday,Tue,Y,20,20,2018-05-14 00:00:00,20180514,5,5,May,May,2,2018,201805,11,4,2018,N
20180516,2018-05-16 00:00:00,3,16,136,Wednesday,Wed,Y,20,20,2018-05-14 00:00:00,20180514,5,5,May,May,2,2018,201805,11,4,2018,N
20180517,2018-05-17 00:00:00,4,17,137,Thursday,Thu,Y,20,20,2018-05-14 00:00:00,20180514,5,5,May,May,2,2018,201805,11,4,2018,N
20180518,2018-05-18 00:00:00,5,18,138,Friday,Fri,Y,20,20,2018-05-14 00:00:00,20180514,5,5,May,May,2,2018,201805,11,4,2018,N
20180519,2018-05-19 00:00:00,6,19,139,Saturday,Sat,N,20,20,2018-05-14 00:00:00,20180514,5,5,May,May,2,2018,201805,11,4,2018,N
